scroll,z,variant,x,y,width,height,inside,capped
PHerc0306B,8819,no-division,5162.17,4640.29,8849.0,8849.0,1,0
PHerc0306B,9400,as-is,5002.52,4376.63,8849.0,8849.0,1,0
PHerc0306B,9400,no-division,4889.52,4430.63,8849.0,8849.0,1,0
PHerc0306B,9981,as-is,4912.15,3914.76,8849.0,8849.0,1,0
PHerc0306B,9981,no-division,4914.15,3914.76,8849.0,8849.0,1,0
PHerc0306B,10561,as-is,4869.36,3869.42,8849.0,8849.0,1,0
PHerc0306B,10561,no-division,4879.36,3578.42,8849.0,8849.0,1,0
PHerc0306B,11142,as-is,4989.76,3488.42,8849.0,8849.0,1,0
PHerc0306B,11142,no-division,4974.76,3482.42,8849.0,8849.0,1,0
PHerc0306B,11723,as-is,4146.77,6488.28,8849.0,8849.0,1,0
PHerc0306B,11723,no-division,4985.77,3202.28,8849.0,8849.0,1,0
PHerc0306B,12303,as-is,4301.06,8485.35,8849.0,8849.0,1,0
PHerc0306B,12303,no-division,4716.06,2874.35,8849.0,8849.0,1,0
PHerc0306B,12884,as-is,4799.8,6723.73,8849.0,8849.0,1,0
PHerc0306B,12884,no-division,4481.8,3355.73,8849.0,8849.0,1,0
PHerc0306B,13464,as-is,4738.22,6668.19,8849.0,8849.0,1,0
PHerc0306B,13464,no-division,4291.22,2790.19,8849.0,8849.0,1,0
PHerc0306B,14045,as-is,4609.78,5350.92,8849.0,8849.0,1,0
PHerc0306B,14045,no-division,4301.78,2738.92,8849.0,8849.0,1,0
PHerc0306B,14626,as-is,3847.95,5365.38,8849.0,8849.0,1,0
PHerc0306B,14626,no-division,4956.95,3407.38,8849.0,8849.0,1,0
PHerc0332,671,as-is,1799.98,2069.06,3941.0,3941.0,1,0
PHerc0332,671,no-division,2350.98,2035.06,3941.0,3941.0,1,0
PHerc0332,978,as-is,2130.02,2092.04,3941.0,3941.0,1,0
PHerc0332,978,no-division,1981.02,2079.04,3941.0,3941.0,1,0
PHerc0332,1285,as-is,2125.27,2084.94,3941.0,3941.0,1,0
PHerc0332,1285,no-division,2124.27,2072.94,3941.0,3941.0,1,0
PHerc0332,1591,as-is,2128.55,2092.28,3941.0,3941.0,1,0
PHerc0332,1591,no-division,2128.55,2090.28,3941.0,3941.0,1,0
PHerc0332,1898,as-is,2099.92,2096.17,3941.0,3941.0,1,0
PHerc0332,1898,no-division,2094.92,2093.17,3941.0,3941.0,1,0
PHerc0332,2205,as-is,2091.79,2100.51,3941.0,3941.0,1,0
PHerc0332,2205,no-division,2090.79,2103.51,3941.0,3941.0,1,0
PHerc0332,2512,as-is,2083.31,2107.76,3941.0,3941.0,1,0
PHerc0332,2512,no-division,2079.31,2113.76,3941.0,3941.0,1,0
PHerc0332,2818,as-is,2073.43,2100.54,3941.0,3941.0,1,0
PHerc0332,2818,no-division,2077.43,2097.54,3941.0,3941.0,1,0
PHerc0332,3125,as-is,2058.62,2116.91,3941.0,3941.0,1,0
PHerc0332,3125,no-division,2056.62,2115.91,3941.0,3941.0,1,0
PHerc0332,3432,as-is,2041.14,2111.79,3941.0,3941.0,1,0
PHerc0332,3432,no-division,2023.14,2132.79,3941.0,3941.0,1,0
PHerc0332,3738,as-is,2016.89,2130.12,3941.0,3941.0,1,0
PHerc0332,3738,no-division,2018.89,2132.12,3941.0,3941.0,1,0
PHerc0332,4045,as-is,2021.0,2119.24,3941.0,3941.0,1,0
PHerc0332,4045,no-division,2028.0,2130.24,3941.0,3941.0,1,0
PHerc0332,4352,as-is,1948.19,2091.35,3941.0,3941.0,1,0
PHerc0332,4352,no-division,1951.19,2094.35,3941.0,3941.0,1,0
PHerc0332,4659,as-is,1905.09,2024.06,3941.0,3941.0,1,0
PHerc0332,4659,no-division,1899.09,2021.06,3941.0,3941.0,1,0
PHerc0332,4965,as-is,1915.87,2011.45,3941.0,3941.0,1,0
PHerc0332,4965,no-division,1919.87,1997.45,3941.0,3941.0,1,0
PHerc0332,5272,as-is,1953.73,1994.63,3941.0,3941.0,1,0
PHerc0332,5272,no-division,1957.73,1989.63,3941.0,3941.0,1,0
PHerc0332,5579,as-is,1991.26,2023.22,3941.0,3941.0,1,0
PHerc0332,5579,no-division,1994.26,2020.22,3941.0,3941.0,1,0
PHerc0332,5885,as-is,2035.9,2057.72,3941.0,3941.0,1,0
PHerc0332,5885,no-division,2040.9,2041.72,3941.0,3941.0,1,0
PHerc0332,6192,as-is,2070.17,2087.33,3941.0,3941.0,1,0
PHerc0332,6192,no-division,2084.17,2087.33,3941.0,3941.0,1,0
PHerc0332,6499,as-is,2077.26,2149.26,3941.0,3941.0,1,0
PHerc0332,6499,no-division,2066.26,2168.26,3941.0,3941.0,1,0
PHerc0332,6806,as-is,2138.31,2146.84,3941.0,3941.0,1,0
PHerc0332,6806,no-division,2142.31,2147.84,3941.0,3941.0,1,0
PHerc0332,7112,as-is,2181.77,2053.49,3941.0,3941.0,1,0
PHerc0332,7112,no-division,2145.77,2046.49,3941.0,3941.0,1,0
PHerc0332,7419,as-is,2196.78,1984.84,3941.0,3941.0,1,0
PHerc0332,7419,no-division,2196.78,1982.84,3941.0,3941.0,1,0
PHerc0332,7726,as-is,2220.5,1892.96,3941.0,3941.0,1,0
PHerc0332,7726,no-division,2228.5,1864.96,3941.0,3941.0,1,0
PHerc0343,1439,as-is,4828.88,3648.8,8595.0,8595.0,1,0
PHerc0343,1439,no-division,5670.88,1818.8,8595.0,8595.0,1,0
PHerc0343,2097,as-is,4980.42,4207.06,8595.0,8595.0,1,0
PHerc0343,2097,no-division,5073.42,3669.06,8595.0,8595.0,1,0
PHerc0343,2754,as-is,5172.31,3662.25,8595.0,8595.0,1,0
PHerc0343,2754,no-division,5196.31,3632.25,8595.0,8595.0,1,0
PHerc0343,3411,as-is,3710.08,4469.94,8595.0,8595.0,1,0
PHerc0343,3411,no-division,5350.08,3392.94,8595.0,8595.0,1,0
PHerc0343,4069,as-is,5233.61,4385.57,8595.0,8595.0,1,0
PHerc0343,4069,no-division,5349.61,3928.57,8595.0,8595.0,1,0
PHerc0343,4726,as-is,4725.67,4691.71,8595.0,8595.0,1,0
PHerc0343,4726,no-division,5380.67,4957.71,8595.0,8595.0,1,0
PHerc0343,5383,as-is,5008.8,4926.23,8595.0,8595.0,1,0
PHerc0343,5383,no-division,5149.8,5618.23,8595.0,8595.0,1,0
PHerc0343,6041,as-is,4687.94,874.35,8595.0,8595.0,1,0
PHerc0343,6041,no-division,5050.94,5714.35,8595.0,8595.0,1,0
PHerc0343,6698,as-is,144110.08,-1460653.02,8595.0,8595.0,0,1
PHerc0343,6698,no-division,5240.08,5541.98,8595.0,8595.0,1,0
PHerc0343,7355,as-is,325095.09,-3012372.96,8595.0,8595.0,0,1
PHerc0343,7355,no-division,4541.09,5295.04,8595.0,8595.0,1,0
PHerc0343,8013,as-is,3526.93,14176.55,8595.0,8595.0,0,0
PHerc0343,8013,no-division,4746.93,5562.55,8595.0,8595.0,1,0
PHerc0343,8670,as-is,4946.83,5094.55,8595.0,8595.0,1,0
PHerc0343,8670,no-division,4983.83,5091.55,8595.0,8595.0,1,0
PHerc0343,9327,as-is,5160.39,4729.54,8595.0,8595.0,1,0
PHerc0343,9327,no-division,5184.39,4694.54,8595.0,8595.0,1,0
PHerc0343,9984,as-is,5254.24,4426.25,8595.0,8595.0,1,0
PHerc0343,9984,no-division,5356.24,4386.25,8595.0,8595.0,1,0
PHerc0343,10642,as-is,5015.16,4067.66,8595.0,8595.0,1,0
PHerc0343,10642,no-division,5192.16,4136.66,8595.0,8595.0,1,0
PHerc0343,11299,as-is,4954.48,3721.32,8595.0,8595.0,1,0
PHerc0343,11299,no-division,4899.48,3707.32,8595.0,8595.0,1,0
PHerc0343,11956,as-is,5061.03,3685.1,8595.0,8595.0,1,0
PHerc0343,11956,no-division,4830.03,3648.1,8595.0,8595.0,1,0
PHerc0343,12614,as-is,4920.04,3645.6,8595.0,8595.0,1,0
PHerc0343,12614,no-division,4858.04,3642.6,8595.0,8595.0,1,0
PHerc0343,13271,as-is,4813.07,3558.38,8595.0,8595.0,1,0
PHerc0343,13271,no-division,4856.07,3519.38,8595.0,8595.0,1,0
PHerc0343,13928,as-is,4493.64,3749.97,8595.0,8595.0,1,0
PHerc0343,13928,no-division,4704.64,3587.97,8595.0,8595.0,1,0
PHerc0343,14586,as-is,4272.31,4005.03,8595.0,8595.0,1,0
PHerc0343,14586,no-division,4278.31,4008.03,8595.0,8595.0,1,0
PHerc0343,15243,as-is,3911.45,4929.48,8595.0,8595.0,1,0
PHerc0343,15243,no-division,3655.45,4178.48,8595.0,8595.0,1,0
PHerc0343,15900,as-is,3476.41,4606.66,8595.0,8595.0,1,0
PHerc0343,15900,no-division,3466.41,4609.66,8595.0,8595.0,1,0
PHerc0343,16558,as-is,95143.18,-65643.18,8595.0,8595.0,0,1
PHerc0343,16558,no-division,3118.18,4957.82,8595.0,8595.0,1,0
PHerc0358,1179,as-is,4060.52,2358.43,7783.0,7783.0,1,0
PHerc0358,1179,no-division,3750.52,3078.43,7783.0,7783.0,1,0
PHerc0358,1717,as-is,3708.93,3579.46,7783.0,7783.0,1,0
PHerc0358,1717,no-division,3731.93,3814.46,7783.0,7783.0,1,0
PHerc0358,2256,as-is,3600.0,3986.81,7783.0,7783.0,1,0
PHerc0358,2256,no-division,3626.0,4015.81,7783.0,7783.0,1,0
PHerc0358,2794,as-is,3620.46,3720.56,7783.0,7783.0,1,0
PHerc0358,2794,no-division,3826.46,4469.56,7783.0,7783.0,1,0
PHerc0358,3333,as-is,5730.97,2262.38,7783.0,7783.0,1,0
PHerc0358,3333,no-division,3581.97,4457.38,7783.0,7783.0,1,0
PHerc0358,3871,as-is,12198.92,-2555.54,7783.0,7783.0,0,0
PHerc0358,3871,no-division,3527.92,4142.46,7783.0,7783.0,1,0
PHerc0358,4410,as-is,13535.02,-3885.99,7783.0,7783.0,0,0
PHerc0358,4410,no-division,3613.02,3977.01,7783.0,7783.0,1,0
PHerc0358,4948,as-is,12897.08,-2717.61,7783.0,7783.0,0,0
PHerc0358,4948,no-division,3838.08,3800.39,7783.0,7783.0,1,0
PHerc0358,5487,as-is,30929.61,-18818.02,7783.0,7783.0,0,0
PHerc0358,5487,no-division,4500.61,4552.98,7783.0,7783.0,1,0
PHerc0358,6025,as-is,-8766.69,15244.56,7783.0,7783.0,0,0
PHerc0358,6025,no-division,4060.31,3220.56,7783.0,7783.0,1,0
PHerc0358,6564,as-is,-6445.74,14581.69,7783.0,7783.0,0,0
PHerc0358,6564,no-division,4491.26,3843.69,7783.0,7783.0,1,0
PHerc0358,7102,as-is,23214.73,-15820.26,7783.0,7783.0,0,0
PHerc0358,7102,no-division,4644.73,4192.74,7783.0,7783.0,1,0
PHerc0358,7641,as-is,12098.65,-3286.2,7783.0,7783.0,0,0
PHerc0358,7641,no-division,3903.65,3748.8,7783.0,7783.0,1,0
PHerc0358,8179,as-is,29465.75,-15587.02,7783.0,7783.0,0,0
PHerc0358,8179,no-division,4516.75,3513.98,7783.0,7783.0,1,0
PHerc0358,8718,as-is,3461.15,3969.98,7783.0,7783.0,1,0
PHerc0358,8718,no-division,3235.15,4074.98,7783.0,7783.0,1,0
PHerc0358,9256,as-is,2985.77,4021.76,7783.0,7783.0,1,0
PHerc0358,9256,no-division,3975.77,4223.76,7783.0,7783.0,1,0
PHerc0358,9795,as-is,3226.79,3855.22,7783.0,7783.0,1,0
PHerc0358,9795,no-division,3241.79,3846.22,7783.0,7783.0,1,0
PHerc0358,10333,as-is,2781.25,4041.33,7783.0,7783.0,1,0
PHerc0358,10333,no-division,2934.25,4258.33,7783.0,7783.0,1,0
PHerc0358,10872,as-is,2455.96,4279.86,7783.0,7783.0,1,0
PHerc0358,10872,no-division,2424.96,4450.86,7783.0,7783.0,1,0
PHerc0358,11410,as-is,2105.4,4418.39,7783.0,7783.0,1,0
PHerc0358,11410,no-division,2271.4,4435.39,7783.0,7783.0,1,0
PHerc0358,11949,as-is,2433.0,4268.78,7783.0,7783.0,1,0
PHerc0358,11949,no-division,2000.0,4005.78,7783.0,7783.0,1,0
PHerc0358,12487,as-is,3246.86,5403.52,7783.0,7783.0,1,0
PHerc0358,12487,no-division,2070.86,4515.52,7783.0,7783.0,1,0
PHerc0358,13026,as-is,7534.66,3372.43,7783.0,7783.0,1,0
PHerc0358,13026,no-division,2273.66,4577.43,7783.0,7783.0,1,0
PHerc0358,13564,as-is,6992.29,2601.55,7783.0,7783.0,1,0
PHerc0358,13564,no-division,2685.29,5434.55,7783.0,7783.0,1,0
PHerc0483A,1271,as-is,3161.39,7581.6,8849.0,8849.0,1,0
PHerc0483A,1271,no-division,3163.39,4718.6,8849.0,8849.0,1,0
PHerc0483A,1852,as-is,7194.43,81454.13,8849.0,8849.0,0,0
PHerc0483A,1852,no-division,3272.43,5000.13,8849.0,8849.0,1,0
PHerc0483A,2433,as-is,4749.46,-54309.37,8849.0,8849.0,0,0
PHerc0483A,2433,no-division,3133.46,4833.63,8849.0,8849.0,1,0
PHerc0483A,3013,as-is,3035.65,8634.34,8849.0,8849.0,1,0
PHerc0483A,3013,no-division,3202.65,4662.34,8849.0,8849.0,1,0
PHerc0483A,3594,as-is,3393.26,13663.2,8849.0,8849.0,0,0
PHerc0483A,3594,no-division,2791.26,4434.2,8849.0,8849.0,1,0
PHerc0483A,4174,as-is,4592.92,-7197.94,8849.0,8849.0,0,0
PHerc0483A,4174,no-division,3155.92,4540.06,8849.0,8849.0,1,0
PHerc0483A,4755,as-is,4297.9,-3297.14,8849.0,8849.0,0,0
PHerc0483A,4755,no-division,3317.9,4252.86,8849.0,8849.0,1,0
PHerc0483A,5336,as-is,4002.49,-2613.81,8849.0,8849.0,0,0
PHerc0483A,5336,no-division,3658.49,4293.19,8849.0,8849.0,1,0
PHerc0483A,5916,as-is,4421.72,-3324.12,8849.0,8849.0,0,0
PHerc0483A,5916,no-division,3915.72,4641.88,8849.0,8849.0,1,0
PHerc0483A,6497,as-is,4257.1,-64.35,8849.0,8849.0,0,0
PHerc0483A,6497,no-division,3991.1,4632.65,8849.0,8849.0,1,0
PHerc0483A,7078,as-is,4081.18,-1195.94,8849.0,8849.0,0,0
PHerc0483A,7078,no-division,4141.18,4563.06,8849.0,8849.0,1,0
PHerc0483A,7658,as-is,3234.11,-21112.31,8849.0,8849.0,0,0
PHerc0483A,7658,no-division,4244.11,4352.69,8849.0,8849.0,1,0
PHerc0483A,8239,as-is,3529.04,40133.85,8849.0,8849.0,0,0
PHerc0483A,8239,no-division,4098.04,4328.85,8849.0,8849.0,1,0
PHerc0483A,8819,as-is,4089.24,11342.27,8849.0,8849.0,0,0
PHerc0483A,8819,no-division,4417.24,4321.27,8849.0,8849.0,1,0
PHerc0483A,9400,as-is,3900.85,11248.94,8849.0,8849.0,0,0
PHerc0483A,9400,no-division,5102.85,4111.94,8849.0,8849.0,1,0
PHerc0483A,9981,as-is,3932.83,14871.44,8849.0,8849.0,0,0
PHerc0483A,9981,no-division,4831.83,3989.44,8849.0,8849.0,1,0
PHerc0483A,10561,as-is,4646.01,4931.56,8849.0,8849.0,1,0
PHerc0483A,10561,no-division,5012.01,4504.56,8849.0,8849.0,1,0
PHerc0483A,11142,as-is,5071.48,5272.0,8849.0,8849.0,1,0
PHerc0483A,11142,no-division,5212.48,5375.0,8849.0,8849.0,1,0
PHerc0483A,11723,as-is,3352.83,4159.8,8849.0,8849.0,1,0
PHerc0483A,11723,no-division,4997.83,5607.8,8849.0,8849.0,1,0
PHerc0483A,12303,as-is,3639.26,1051.08,8849.0,8849.0,1,0
PHerc0483A,12303,no-division,3746.26,5364.08,8849.0,8849.0,1,0
PHerc0483A,12884,as-is,3882.88,607.19,8849.0,8849.0,1,0
PHerc0483A,12884,no-division,3464.88,6148.19,8849.0,8849.0,1,0
PHerc0483A,13464,as-is,4086.99,4819.42,8849.0,8849.0,1,0
PHerc0483A,13464,no-division,4034.99,5408.42,8849.0,8849.0,1,0
PHerc0483A,14045,as-is,4268.09,2268.4,8849.0,8849.0,1,0
PHerc0483A,14045,no-division,5004.09,5860.4,8849.0,8849.0,1,0
PHerc0483A,14626,as-is,4731.74,4828.75,8849.0,8849.0,1,0
PHerc0483A,14626,no-division,3915.74,5386.75,8849.0,8849.0,1,0
PHerc0483B,950,as-is,6497.43,145519.67,8343.0,8343.0,0,0
PHerc0483B,950,no-division,5590.43,4202.67,8343.0,8343.0,1,0
PHerc0483B,1384,as-is,3986.97,3466.13,8343.0,8343.0,1,0
PHerc0483B,1384,no-division,3128.97,3739.13,8343.0,8343.0,1,0
PHerc0483B,1818,as-is,4666.08,3934.22,8343.0,8343.0,1,0
PHerc0483B,1818,no-division,4037.08,3961.22,8343.0,8343.0,1,0
PHerc0483B,2252,as-is,4869.47,4122.19,8343.0,8343.0,1,0
PHerc0483B,2252,no-division,4269.47,4137.19,8343.0,8343.0,1,0
PHerc0483B,2685,as-is,4954.42,2648.44,8343.0,8343.0,1,0
PHerc0483B,2685,no-division,4440.42,4489.44,8343.0,8343.0,1,0
PHerc0483B,3119,as-is,5420.22,2675.93,8343.0,8343.0,1,0
PHerc0483B,3119,no-division,4292.22,4724.93,8343.0,8343.0,1,0
PHerc0483B,3553,as-is,5637.31,2561.05,8343.0,8343.0,1,0
PHerc0483B,3553,no-division,3864.31,4718.05,8343.0,8343.0,1,0
PHerc0483B,3987,as-is,4409.43,4392.76,8343.0,8343.0,1,0
PHerc0483B,3987,no-division,3921.43,4475.76,8343.0,8343.0,1,0
PHerc0483B,4421,as-is,6406.55,-8097.29,8343.0,8343.0,0,0
PHerc0483B,4421,no-division,3647.55,5290.71,8343.0,8343.0,1,0
PHerc0483B,4855,as-is,4652.08,3728.69,8343.0,8343.0,1,0
PHerc0483B,4855,no-division,3441.08,4837.69,8343.0,8343.0,1,0
PHerc0483B,5289,as-is,3963.79,4618.99,8343.0,8343.0,1,0
PHerc0483B,5289,no-division,4055.79,4263.99,8343.0,8343.0,1,0
PHerc0483B,5723,as-is,4061.71,4067.24,8343.0,8343.0,1,0
PHerc0483B,5723,no-division,4306.71,4024.24,8343.0,8343.0,1,0
PHerc0483B,6156,as-is,3379.44,4318.19,8343.0,8343.0,1,0
PHerc0483B,6156,no-division,4132.44,3373.19,8343.0,8343.0,1,0
PHerc0483B,6590,as-is,7480.87,16717.84,8343.0,8343.0,0,0
PHerc0483B,6590,no-division,4255.87,3337.84,8343.0,8343.0,1,0
PHerc0483B,7024,as-is,3153.61,4612.99,8343.0,8343.0,1,0
PHerc0483B,7024,no-division,4460.61,3395.99,8343.0,8343.0,1,0
PHerc0483B,7458,as-is,4442.79,4034.25,8343.0,8343.0,1,0
PHerc0483B,7458,no-division,5071.79,3399.25,8343.0,8343.0,1,0
PHerc0483B,7892,as-is,3814.26,4196.85,8343.0,8343.0,1,0
PHerc0483B,7892,no-division,5299.26,3731.85,8343.0,8343.0,1,0
PHerc0483B,8326,as-is,3781.79,3853.44,8343.0,8343.0,1,0
PHerc0483B,8326,no-division,5289.79,3539.44,8343.0,8343.0,1,0
PHerc0483B,8760,as-is,3866.84,4095.46,8343.0,8343.0,1,0
PHerc0483B,8760,no-division,4182.84,4715.46,8343.0,8343.0,1,0
PHerc0483B,9194,as-is,3941.4,3928.32,8343.0,8343.0,1,0
PHerc0483B,9194,no-division,4714.4,4120.32,8343.0,8343.0,1,0
PHerc0483B,9627,as-is,4970.62,3539.53,8343.0,8343.0,1,0
PHerc0483B,9627,no-division,5402.62,4088.53,8343.0,8343.0,1,0
PHerc0483B,10061,as-is,3448.11,2797.79,8343.0,8343.0,1,0
PHerc0483B,10061,no-division,5029.11,4620.79,8343.0,8343.0,1,0
PHerc0483B,10495,as-is,3300.23,2544.55,8343.0,8343.0,1,0
PHerc0483B,10495,no-division,4671.23,4835.55,8343.0,8343.0,1,0
PHerc0483B,10929,as-is,3690.15,3003.38,8343.0,8343.0,1,0
PHerc0483B,10929,no-division,3434.15,3647.38,8343.0,8343.0,1,0
PHerc0490A,935,as-is,5739.01,17374.31,9101.0,9101.0,0,0
PHerc0490A,935,no-division,4876.01,3902.31,9101.0,9101.0,1,0
PHerc0490A,1363,as-is,3250.93,4680.12,9101.0,9101.0,1,0
PHerc0490A,1363,no-division,3206.93,4886.12,9101.0,9101.0,1,0
PHerc0490A,1790,as-is,2193.28,5756.66,9101.0,9101.0,1,0
PHerc0490A,1790,no-division,1574.28,5180.66,9101.0,9101.0,1,0
PHerc0490A,2217,as-is,7496.34,13941.32,9101.0,9101.0,0,0
PHerc0490A,2217,no-division,3912.34,3515.32,9101.0,9101.0,1,0
PHerc0490A,2644,as-is,5961.81,37353.6,9101.0,9101.0,0,0
PHerc0490A,2644,no-division,3708.81,3873.6,9101.0,9101.0,1,0
PHerc0490A,3071,as-is,5450.4,13816.44,9101.0,9101.0,0,0
PHerc0490A,3071,no-division,4939.4,4253.44,9101.0,9101.0,1,0
PHerc0490A,3499,as-is,4944.32,4703.74,9101.0,9101.0,1,0
PHerc0490A,3499,no-division,4555.32,4365.74,9101.0,9101.0,1,0
PHerc0490A,3926,as-is,4502.65,18715.34,9101.0,9101.0,0,0
PHerc0490A,3926,no-division,5523.65,4083.34,9101.0,9101.0,1,0
PHerc0490A,4353,as-is,4018.36,4561.05,9101.0,9101.0,1,0
PHerc0490A,4353,no-division,3962.36,3958.05,9101.0,9101.0,1,0
PHerc0490A,4780,as-is,4227.32,4118.98,9101.0,9101.0,1,0
PHerc0490A,4780,no-division,3735.32,4474.98,9101.0,9101.0,1,0
PHerc0490A,5208,as-is,3545.98,4326.34,9101.0,9101.0,1,0
PHerc0490A,5208,no-division,3463.98,4349.34,9101.0,9101.0,1,0
PHerc0490A,5635,as-is,3548.49,3907.82,9101.0,9101.0,1,0
PHerc0490A,5635,no-division,3284.49,4028.82,9101.0,9101.0,1,0
PHerc0490A,6062,as-is,3840.52,3849.34,9101.0,9101.0,1,0
PHerc0490A,6062,no-division,3609.52,3721.34,9101.0,9101.0,1,0
PHerc0490A,6489,as-is,3489.22,4149.36,9101.0,9101.0,1,0
PHerc0490A,6489,no-division,3212.22,4192.36,9101.0,9101.0,1,0
PHerc0490A,6917,as-is,3385.01,4306.93,9101.0,9101.0,1,0
PHerc0490A,6917,no-division,3036.01,4108.93,9101.0,9101.0,1,0
PHerc0490A,7344,as-is,3924.83,4454.56,9101.0,9101.0,1,0
PHerc0490A,7344,no-division,4009.83,4200.56,9101.0,9101.0,1,0
PHerc0490A,7771,as-is,4375.39,5506.99,9101.0,9101.0,1,0
PHerc0490A,7771,no-division,4461.39,5585.99,9101.0,9101.0,1,0
PHerc0490A,8198,as-is,4417.17,5959.1,9101.0,9101.0,1,0
PHerc0490A,8198,no-division,4531.17,6092.1,9101.0,9101.0,1,0
PHerc0490A,8626,as-is,4428.27,5819.07,9101.0,9101.0,1,0
PHerc0490A,8626,no-division,4281.27,6167.07,9101.0,9101.0,1,0
PHerc0490A,9053,as-is,4750.22,5455.86,9101.0,9101.0,1,0
PHerc0490A,9053,no-division,4313.22,6182.86,9101.0,9101.0,1,0
PHerc0490A,9480,as-is,4425.09,6018.09,9101.0,9101.0,1,0
PHerc0490A,9480,no-division,4426.09,6007.09,9101.0,9101.0,1,0
PHerc0490A,9907,as-is,4329.48,5749.55,9101.0,9101.0,1,0
PHerc0490A,9907,no-division,4109.48,5750.55,9101.0,9101.0,1,0
PHerc0490A,10334,as-is,4253.67,5462.6,9101.0,9101.0,1,0
PHerc0490A,10334,no-division,3304.67,5666.6,9101.0,9101.0,1,0
PHerc0490A,10762,as-is,7135.22,3189.39,9101.0,9101.0,1,0
PHerc0490A,10762,no-division,2546.22,4060.39,9101.0,9101.0,1,0
PHerc0490B,851,as-is,-1856.25,42722.42,8343.0,8343.0,0,0
PHerc0490B,851,no-division,5868.75,2430.42,8343.0,8343.0,1,0
PHerc0490B,1240,as-is,-1041.47,-29972.6,8343.0,8343.0,0,0
PHerc0490B,1240,no-division,4831.53,4069.4,8343.0,8343.0,1,0
PHerc0490B,1629,as-is,28359.0,133053.21,8343.0,8343.0,0,1
PHerc0490B,1629,no-division,5177.0,3602.21,8343.0,8343.0,1,0
PHerc0490B,2018,as-is,4218.13,-1396.29,8343.0,8343.0,0,0
PHerc0490B,2018,no-division,5331.13,3220.71,8343.0,8343.0,1,0
PHerc0490B,2407,as-is,3735.75,-10081.03,8343.0,8343.0,0,0
PHerc0490B,2407,no-division,4744.75,3756.97,8343.0,8343.0,1,0
PHerc0490B,2796,as-is,3122.62,-17753.02,8343.0,8343.0,0,0
PHerc0490B,2796,no-division,4258.62,4499.98,8343.0,8343.0,1,0
PHerc0490B,3185,as-is,4546.58,-17049.1,8343.0,8343.0,0,0
PHerc0490B,3185,no-division,4341.58,4210.9,8343.0,8343.0,1,0
PHerc0490B,3574,as-is,4462.99,-38943.32,8343.0,8343.0,0,0
PHerc0490B,3574,no-division,3677.99,4319.68,8343.0,8343.0,1,0
PHerc0490B,3962,as-is,5091.89,-41836.67,8343.0,8343.0,0,0
PHerc0490B,3962,no-division,3321.89,4748.33,8343.0,8343.0,1,0
PHerc0490B,4351,as-is,5552.62,-27802.84,8343.0,8343.0,0,0
PHerc0490B,4351,no-division,4706.62,4654.16,8343.0,8343.0,1,0
PHerc0490B,4740,as-is,99590.08,-2346963.73,8343.0,8343.0,0,1
PHerc0490B,4740,no-division,4359.08,4250.27,8343.0,8343.0,1,0
PHerc0490B,5129,as-is,716.26,-2171816.15,8343.0,8343.0,0,1
PHerc0490B,5129,no-division,4373.26,4112.85,8343.0,8343.0,1,0
PHerc0490B,5518,as-is,4352.75,31374.54,8343.0,8343.0,0,0
PHerc0490B,5518,no-division,4205.75,4101.54,8343.0,8343.0,1,0
PHerc0490B,5907,as-is,4659.74,19905.65,8343.0,8343.0,0,0
PHerc0490B,5907,no-division,4957.74,4138.65,8343.0,8343.0,1,0
PHerc0490B,6296,as-is,4244.75,14089.58,8343.0,8343.0,0,0
PHerc0490B,6296,no-division,4778.75,3962.58,8343.0,8343.0,1,0
PHerc0490B,6685,as-is,4514.81,11953.91,8343.0,8343.0,0,0
PHerc0490B,6685,no-division,3372.81,5299.91,8343.0,8343.0,1,0
PHerc0490B,7073,as-is,3886.03,11261.14,8343.0,8343.0,0,0
PHerc0490B,7073,no-division,3433.03,5002.14,8343.0,8343.0,1,0
PHerc0490B,7462,as-is,3686.69,12307.56,8343.0,8343.0,0,0
PHerc0490B,7462,no-division,4619.69,4171.56,8343.0,8343.0,1,0
PHerc0490B,7851,as-is,3531.66,10291.21,8343.0,8343.0,0,0
PHerc0490B,7851,no-division,4014.66,3162.21,8343.0,8343.0,1,0
PHerc0490B,8240,as-is,3401.02,10942.16,8343.0,8343.0,0,0
PHerc0490B,8240,no-division,4637.02,4562.16,8343.0,8343.0,1,0
PHerc0490B,8629,as-is,3406.58,9928.33,8343.0,8343.0,0,0
PHerc0490B,8629,no-division,4451.58,4357.33,8343.0,8343.0,1,0
PHerc0490B,9018,as-is,3715.73,8039.31,8343.0,8343.0,1,0
PHerc0490B,9018,no-division,5103.73,3687.31,8343.0,8343.0,1,0
PHerc0490B,9407,as-is,-211651.77,-658504.34,8343.0,8343.0,0,1
PHerc0490B,9407,no-division,3330.23,5465.66,8343.0,8343.0,1,0
PHerc0490B,9796,as-is,851.67,10360.42,8343.0,8343.0,0,0
PHerc0490B,9796,no-division,3845.67,4846.42,8343.0,8343.0,1,0
PHerc0800,1943,as-is,2245.79,7615.97,9867.0,9867.0,1,0
PHerc0800,1943,no-division,5483.79,4044.97,9867.0,9867.0,1,0
PHerc0800,2831,as-is,4471.46,5115.42,9867.0,9867.0,1,0
PHerc0800,2831,no-division,4957.46,4144.42,9867.0,9867.0,1,0
