scroll,z,segments,sector_counts,sector_ratio,dominant_half_fraction,centroid_minus_ref_x_mm,centroid_minus_ref_y_mm,centroid_minus_ref_mm,estimate_minus_ref_x_mm,estimate_minus_ref_y_mm,estimate_minus_ref_mm,cosine,same_half_plane
PHerc0268,6986,64197,7784 3053 4205 7180 7291 10768 12665 11251,4.15,0.662,-3.05,11.8,12.19,-2.29,4.0,4.61,0.964,1
PHerc0268,7417,57876,8587 3735 3896 6919 7071 8412 8262 10994,2.94,0.626,-2.8,8.34,8.79,-5.24,0.15,5.24,0.344,1
PHerc0268,7847,63559,5709 3093 4903 9086 11885 10763 9569 8551,3.84,0.65,5.16,9.38,10.7,2.74,4.41,5.19,0.999,1
PHerc0268,8278,58207,6597 3198 4843 8576 9420 9410 8880 7283,2.95,0.623,3.28,8.2,8.84,2.32,2.73,3.58,0.948,1
PHerc0268,8709,65114,5894 5474 5455 9476 10350 9672 10787 8006,1.98,0.619,3.45,5.2,6.24,4.23,11.0,11.78,0.976,1
PHerc0268,9139,58710,6079 6221 8079 12926 8366 5641 3763 7635,3.44,0.606,5.92,-5.24,7.91,5.12,-6.55,8.31,0.983,1
PHerc0268,9570,66034,9090 8824 12721 13914 6430 4036 3863 7156,3.6,0.675,3.21,-11.92,12.34,0.81,-2.39,2.53,0.998,1
PHerc0268,10000,67771,10801 8919 11662 11463 7481 4354 4377 8714,2.68,0.632,1.22,-11.13,11.2,-4.45,-2.91,5.32,0.453,1
PHerc0268,10431,71229,10984 10385 12742 12458 6003 4779 6056 7822,2.67,0.654,0.36,-11.38,11.39,2.22,-0.15,2.23,0.099,1
PHerc0268,10862,65682,8473 9656 8238 11065 7169 4251 6238 10592,2.6,0.57,-1.53,-8.17,8.31,0.19,-2.15,2.16,0.963,1
PHerc0268,11292,78483,11120 9950 13461 11496 6710 5437 7010 13299,2.48,0.609,-2.2,-7.76,8.07,-1.17,0.05,1.17,0.231,1
PHerc0268,11723,63638,8909 6282 4726 8768 8262 7332 8995 10364,2.19,0.559,-2.56,1.12,2.79,-1.82,2.14,2.81,0.901,1
PHerc0268,12153,56896,6055 1295 1572 3963 9022 9578 12291 13120,10.13,0.774,-5.28,11.59,12.74,-0.59,8.12,8.14,0.938,1
PHerc0268,12584,40688,915 64 62 788 6596 9423 11289 11551,186.31,0.955,-6.38,17.48,18.6,-4.5,3.01,5.42,0.807,1
PHerc0358,1768,26174,3055 2270 2374 1802 3558 5620 4217 3278,3.12,0.637,-0.45,3.53,3.56,-1.43,3.56,3.84,0.968,1
PHerc0358,2253,29733,2644 4746 4556 2443 5920 5217 2435 1772,3.34,0.61,3.06,-1.0,3.22,0.59,0.83,1.02,0.3,1
PHerc0358,2738,33759,2727 6501 3732 3070 7484 6091 2205 1949,3.84,0.616,3.83,-1.26,4.03,2.54,1.27,2.84,0.712,1
PHerc0358,3223,35675,4721 7373 3442 3212 7431 5897 2281 1318,5.64,0.601,2.6,-1.64,3.07,2.09,2.09,2.96,0.221,1
PHerc0358,3707,37329,5414 6552 4600 3761 7333 6218 2227 1224,5.99,0.596,2.38,-1.49,2.8,2.07,-2.57,3.3,0.945,1
PHerc0358,4192,38074,4949 8116 3345 3281 7449 6398 2745 1791,4.53,0.583,1.58,-1.42,2.12,0.27,0.45,0.52,-0.194,0
PHerc0358,4677,37445,5781 7340 3014 2313 5703 7634 3217 2443,3.3,0.509,-0.1,-0.21,0.24,0.86,0.54,1.01,-0.852,0
PHerc0358,5162,38198,7106 7191 2637 2159 3603 8524 3796 3182,3.95,0.592,-2.45,0.31,2.47,1.21,2.19,2.5,-0.371,0
PHerc0358,5647,33485,6160 6867 1989 1434 3449 8067 3783 1736,5.63,0.59,-2.39,1.23,2.69,-1.86,1.98,2.72,0.943,1
PHerc0358,6132,31253,5673 5864 1930 1323 3930 6815 3572 2146,5.15,0.583,-1.6,1.21,2.01,0.76,0.39,0.86,-0.439,0
PHerc0358,6617,29494,6135 5893 1113 990 3392 5795 3552 2624,6.2,0.617,-3.91,0.19,3.91,-0.54,-0.25,0.6,0.887,1
PHerc0358,7102,34222,6755 5932 950 647 2992 7617 5766 3563,11.77,0.693,-4.85,2.69,5.54,1.07,5.69,5.79,0.314,1
PHerc0358,7586,31543,7385 4403 873 536 1960 7999 4452 3935,14.92,0.754,-5.43,3.38,6.4,-10.14,-4.92,11.27,0.534,1
PHerc0358,8071,29100,6652 4048 666 461 1540 6770 3913 5050,14.69,0.769,-6.34,3.43,7.21,-2.33,5.91,6.36,0.765,1
PHerc0358,8556,31664,7499 3501 1849 1305 2814 6141 3292 5263,5.75,0.701,-5.45,2.37,5.94,-3.63,-1.09,3.79,0.764,1
PHerc0358,9041,36326,7346 3741 2555 1850 4403 6212 4236 5983,3.97,0.655,-4.04,1.88,4.46,-2.21,0.2,2.22,0.94,1
PHerc0358,9526,36582,5302 2462 2448 3227 7431 7438 3463 4811,3.04,0.633,1.44,4.45,4.68,-2.53,-0.32,2.55,-0.424,0
PHerc0358,10011,39655,3742 3970 2729 5112 10249 6786 3935 3132,3.76,0.658,5.69,4.12,7.02,3.83,1.87,4.26,0.985,1
PHerc0358,10496,35873,1755 3859 2640 4934 9150 8124 4388 1023,8.94,0.741,7.89,5.49,9.62,1.69,4.3,4.62,0.832,1
PHerc0358,10981,32279,1290 3989 4719 5014 7672 6392 2381 822,9.33,0.737,8.71,0.53,8.73,1.57,0.47,1.64,0.973,1
PHerc0358,11465,30418,1115 4067 4412 6115 7524 5491 1153 541,13.91,0.774,10.17,-0.05,10.17,0.35,-0.59,0.68,0.512,1
PHerc0358,11950,30290,998 3890 6135 6112 7287 4896 549 423,17.23,0.807,11.03,-1.78,11.17,2.27,-2.1,3.09,0.833,1
PHerc0358,12435,29132,1106 4367 6386 5664 6671 3846 679 413,16.15,0.793,8.96,-3.86,9.75,8.9,2.07,9.14,0.805,1
PHerc0358,12920,23285,824 3017 4672 2632 7438 3668 691 343,21.69,0.791,7.3,-1.04,7.37,1.88,2.39,3.04,0.5,1
PHerc0800,3672,53446,10930 7361 3172 1929 6039 11735 5987 6293,6.08,0.654,-3.87,3.91,5.5,-2.09,5.21,5.61,0.922,1
PHerc0800,4441,59880,10357 8067 4791 4649 8706 8490 7697 7123,2.23,0.562,-2.59,3.0,3.97,2.47,-1.59,2.94,-0.959,0
PHerc0800,5209,60420,11881 6421 3584 3189 7066 7586 9693 11000,3.73,0.665,-7.7,3.98,8.67,-0.26,0.43,0.5,0.859,1
PHerc0800,5978,51687,10734 9103 6040 2543 4192 6530 6202 6343,4.22,0.627,-6.53,-1.56,6.71,-2.12,-5.98,6.35,0.545,1
PHerc0800,6747,49520,7484 10104 5918 3662 4188 5651 5693 6820,2.76,0.612,-5.04,-2.03,5.43,-1.76,-1.94,2.62,0.901,1
PHerc0800,7515,45485,7284 9040 5856 3786 3056 4112 6022 6329,2.96,0.63,-5.14,-2.74,5.83,-2.87,-4.78,5.57,0.857,1
PHerc0800,8284,48357,7069 9038 4702 2313 2319 8224 7974 6718,3.91,0.637,-4.78,1.06,4.89,1.28,-0.94,1.59,-0.915,0
PHerc0800,9053,50030,8196 10526 3768 2616 3053 7577 7752 6542,4.02,0.66,-4.92,-1.01,5.03,0.45,2.73,2.77,-0.36,0
PHerc0800,9822,51364,7778 11363 5506 2600 4819 9117 5147 5034,4.37,0.578,-2.26,-2.29,3.22,-0.16,-1.43,1.44,0.785,1
PHerc0800,10590,49633,6269 11086 6257 1868 5936 10244 4152 3821,5.93,0.553,-0.36,-1.48,1.53,-1.08,-2.5,2.72,0.985,1
PHerc0800,11359,51803,5067 10847 7116 2307 7272 10161 4981 4052,4.7,0.532,0.9,-0.89,1.27,-1.15,-3.18,3.38,0.418,1
PHerc0800,12128,50104,4870 10051 7246 2897 6853 9580 4929 3678,3.47,0.54,1.17,-0.68,1.36,0.94,-1.21,1.53,0.927,1
PHerc0800,12896,43367,3002 8557 8383 3327 5887 9133 2946 2132,4.28,0.616,3.68,-2.19,4.28,0.49,0.63,0.8,0.131,1
PHerc0800,13665,39324,1528 6357 9195 4578 7561 6206 2506 1393,6.6,0.704,6.72,-2.9,7.32,2.74,-2.85,3.96,0.922,1
PHerc0800,14434,43684,1963 7489 8223 4360 8493 9156 2517 1483,6.17,0.692,6.34,-1.18,6.45,2.26,3.64,4.29,0.363,1
PHerc0800,15202,39690,1750 6250 6584 3625 8197 10082 1958 1244,8.1,0.718,6.79,0.19,6.79,6.65,2.5,7.1,0.946,1
PHerc0800,15971,42827,1557 7846 6043 5338 9096 9441 2156 1350,6.99,0.699,7.49,-0.58,7.51,1.19,1.92,2.26,0.458,1
PHerc0800,16740,49772,1704 8864 9410 9197 9115 7757 2304 1421,6.62,0.735,8.46,-4.12,9.41,3.26,-4.39,5.47,0.888,1
PHerc0800,17509,50647,2005 9638 6789 9734 10005 7217 3400 1859,5.38,0.714,7.68,-2.97,8.24,2.77,-0.71,2.86,0.993,1
PHerc0800,18277,53867,8142 9631 6409 5706 5085 6669 6286 5939,1.89,0.559,-2.59,-2.51,3.6,-1.67,-1.38,2.17,0.997,1
PHerc0800,19046,59551,10004 10009 6312 5487 4278 7284 7929 8248,2.34,0.608,-5.2,-1.28,5.36,-0.62,0.2,0.66,0.851,1
PHerc0800,19815,60399,8658 10192 8206 4781 3966 8320 9352 6924,2.57,0.582,-3.82,-1.12,3.98,-0.39,-0.28,0.48,0.944,1
PHerc0800,20583,61942,7129 11146 6870 5674 6982 7854 9655 6632,1.96,0.558,-1.81,-0.87,2.01,-0.54,0.27,0.61,0.609,1
PHerc0800,21352,41692,5611 6193 1924 1888 4381 7537 8233 5925,4.36,0.655,-4.3,3.47,5.53,-1.09,-0.46,1.18,0.474,1
PHerc0813,2600,24449,3245 915 1851 2371 2654 3151 3031 7231,7.9,0.681,-4.54,3.48,5.72,-7.39,1.2,7.49,0.881,1
PHerc0813,3182,33859,8058 3606 2952 3859 3734 3989 2749 4912,2.93,0.582,-3.56,-0.34,3.58,-6.6,-1.98,6.89,0.98,1
PHerc0813,3765,35583,8013 4671 3343 2355 3402 4289 3179 6331,3.4,0.628,-5.88,-0.34,5.89,-9.08,-3.43,9.71,0.954,1
PHerc0813,4347,37658,8645 6202 4465 2584 3151 3531 3448 5632,3.35,0.662,-6.09,-2.6,6.62,-8.62,-6.13,10.58,0.977,1
PHerc0813,4929,37558,11378 8854 3340 1681 2033 2617 2823 4832,6.77,0.756,-9.35,-6.44,11.36,-14.31,-10.69,17.86,0.999,1
PHerc0813,5511,37754,11295 9073 4857 2614 1517 1931 2077 4390,7.45,0.784,-8.12,-8.71,11.91,-8.3,-9.06,12.29,1.0,1
PHerc0813,6094,38450,9705 8959 8125 4105 1364 1065 1313 3814,9.11,0.803,-5.9,-10.96,12.45,-6.64,-10.71,12.6,0.998,1
PHerc0813,6676,34747,10416 5394 7461 4096 1347 1037 1329 3667,10.04,0.788,-5.3,-9.1,10.53,-5.13,-5.4,7.45,0.973,1
PHerc0813,7258,29699,7511 4087 6207 3107 944 1262 2336 4245,7.96,0.742,-5.09,-6.4,8.18,-4.98,-2.89,5.76,0.931,1
PHerc0813,7840,24992,4578 3529 4598 2704 1570 1213 2897 3903,3.79,0.665,-4.88,-4.24,6.46,1.68,-3.23,3.64,0.233,1
PHerc0813,8423,27783,4882 4364 3997 2193 1369 1813 3650 5515,4.03,0.675,-6.41,-2.34,6.83,-5.52,0.4,5.54,0.912,1
PHerc0813,9005,29371,5376 5624 3843 1480 1090 1404 5265 5289,5.16,0.734,-7.31,-1.81,7.53,-6.77,-0.33,6.78,0.981,1
PHerc0813,9587,33620,3830 3701 2534 1879 1693 3995 8118 7870,4.8,0.708,-6.21,4.63,7.75,-7.32,2.37,7.7,0.947,1
PHerc0813,10169,32214,3030 2246 1413 2228 2004 6035 7311 7947,5.62,0.755,-5.11,8.44,9.87,-4.37,8.92,9.93,0.996,1
PHerc0813,10752,36235,2428 2148 5061 5557 6063 6499 4562 3917,3.03,0.64,4.19,2.94,5.12,9.8,6.81,11.94,1.0,1
PHerc0813,11334,37478,2632 3139 5482 6795 6484 6588 3598 2760,2.58,0.676,6.21,0.62,6.24,0.71,0.32,0.78,0.948,1
PHerc0813,11916,35076,2659 2959 6032 6628 5955 4985 2688 3170,2.49,0.673,5.77,-1.17,5.88,0.11,-0.4,0.42,0.447,1
PHerc0813,12498,37594,3763 4563 6269 5613 3689 6187 3534 3976,1.77,0.579,2.59,-1.31,2.9,-0.73,-1.61,1.77,0.042,1
PHerc0813,13081,36455,3782 5371 6564 5548 3514 4638 3150 3888,2.08,0.583,1.6,-2.97,3.38,-0.82,-1.7,1.89,0.587,1
PHerc0813,13663,35020,3961 3998 6081 4810 4427 4313 3373 4057,1.8,0.561,1.62,-1.74,2.38,-0.07,-0.07,0.09,0.032,1
PHerc0813,14245,34595,3529 4597 5743 5070 4062 4210 3567 3817,1.63,0.563,1.83,-1.73,2.51,0.48,-1.41,1.49,0.884,1
PHerc0813,14827,34193,3428 3433 5212 5037 4917 3546 3891 4729,1.52,0.547,1.75,-0.02,1.75,-1.37,0.19,1.38,-0.992,0
PHerc0813,15410,29140,2186 1639 3515 6831 5869 3465 2903 2732,4.17,0.675,6.31,0.92,6.38,4.1,-0.28,4.11,0.978,1
PHerc0813,15992,23711,2248 2346 3998 5372 4720 1693 1753 1581,3.4,0.693,5.95,-2.16,6.33,0.41,0.03,0.41,0.915,1
PHerc1203,2320,28760,3377 4222 3497 4390 3262 2625 4025 3362,1.67,0.538,-0.01,-0.75,0.75,-0.45,0.34,0.56,-0.585,0
PHerc1203,2995,29789,3986 3864 3042 3379 4017 3512 3431 4558,1.5,0.532,-1.03,0.19,1.04,1.08,1.58,1.92,-0.403,0
PHerc1203,3670,31548,4478 4368 3267 3119 5352 3930 3386 3648,1.72,0.517,0.46,0.17,0.49,-0.01,0.21,0.21,0.317,1
PHerc1203,4344,32888,5855 4033 2139 2954 6098 3647 3725 4437,2.85,0.549,-1.07,1.48,1.83,-0.53,-0.13,0.55,0.372,1
PHerc1203,5019,30010,6073 3868 1774 2476 5425 3755 2878 3761,3.42,0.552,-1.87,1.11,2.17,0.84,0.66,1.07,-0.361,0
PHerc1203,5694,26428,4213 2984 1972 2175 3867 3708 2355 5154,2.61,0.584,-2.97,1.91,3.53,1.71,1.55,2.31,-0.26,0
PHerc1203,6369,23573,2159 1529 2298 3120 4960 2608 1729 5170,3.38,0.614,0.38,1.5,1.55,2.73,0.18,2.74,0.309,1
PHerc1203,7043,25995,3322 2425 2462 4206 4226 2484 2126 4744,2.23,0.522,0.41,0.39,0.56,-0.12,0.4,0.41,0.465,1
PHerc1203,7718,23961,2393 2211 1937 3319 5751 2094 2645 3611,2.97,0.588,2.56,1.51,2.98,-0.64,0.9,1.11,-0.083,0
PHerc1203,8393,24445,2273 1806 2349 4635 5285 2441 2297 3359,2.93,0.602,3.8,0.83,3.89,2.1,0.2,2.11,0.993,1
PHerc1203,9068,24970,2388 2097 2332 5542 5491 2436 2404 2280,2.64,0.636,4.67,0.22,4.68,2.98,0.18,2.98,1.0,1
PHerc1203,9743,23872,2239 2860 2241 5656 4854 1928 1894 2200,2.99,0.654,4.42,-1.18,4.57,1.15,-0.58,1.28,0.979,1
PHerc1203,10417,23714,2087 2358 3125 5313 4392 2426 1974 2039,2.69,0.643,4.37,-1.24,4.54,-0.26,-0.93,0.97,0.004,1
PHerc1203,11092,23751,1234 1698 2854 5338 5014 2711 3034 1868,4.33,0.678,6.1,0.57,6.13,1.56,0.78,1.75,0.932,1
PHerc1203,11767,26156,898 1338 1884 5113 5592 4308 4482 2541,6.23,0.745,5.27,4.52,6.95,0.95,0.26,0.99,0.902,1
PHerc1203,12442,27450,1333 1590 2197 4664 4894 4156 5633 2983,4.23,0.705,2.84,4.87,5.64,2.06,0.13,2.06,0.56,1
PHerc1203,13117,29239,1838 2498 3221 4376 4571 4048 4799 3888,2.61,0.609,1.51,3.19,3.53,0.84,0.13,0.85,0.563,1
PHerc1203,13791,28847,1464 3293 3836 4108 4002 3378 3962 4804,3.28,0.56,0.35,1.26,1.31,1.08,-0.63,1.25,-0.259,0
PHerc1203,14466,31031,4261 3774 4835 3637 3054 2783 3052 5635,2.02,0.596,-2.45,-2.22,3.31,0.83,-0.09,0.83,-0.666,0
PHerc1203,15141,31290,5170 5458 5210 3963 2382 1719 2367 5021,3.18,0.667,-3.38,-4.91,5.96,-0.44,-0.79,0.9,0.996,1
PHerc1203,15816,32848,5574 5800 6617 4918 2080 1300 1809 4750,5.09,0.697,-2.44,-7.39,7.78,3.25,-2.69,4.22,0.364,1
PHerc1203,16490,35152,5736 6343 6050 4846 2906 2088 2250 4933,3.04,0.656,-1.92,-6.14,6.43,-2.54,-4.96,5.57,0.985,1
PHerc1203,17165,28032,3096 2133 3719 4659 3511 3346 3181 4387,2.18,0.543,1.01,0.05,1.01,1.18,-0.11,1.19,0.99,1
PHerc1203,17840,16366,395 65 678 2038 3696 3285 3609 2600,56.86,0.806,2.19,6.83,7.18,3.25,6.26,7.05,0.986,1
PHerc1218,3432,23304,3064 1604 2307 4441 3794 1960 1542 4592,2.98,0.536,0.73,0.0,0.73,1.21,0.22,1.23,0.984,1
PHerc1218,4202,23024,3660 825 2476 4339 4330 1535 1366 4493,5.45,0.551,0.48,0.0,0.48,4.78,-1.22,4.93,0.967,1
PHerc1218,4972,24468,4074 1455 2201 4493 4246 2922 1550 3527,3.09,0.567,1.6,0.44,1.66,3.01,-1.68,3.44,0.713,1
PHerc1218,5742,24694,3137 1236 1395 4124 5311 3653 2568 3270,4.3,0.634,2.65,2.19,3.44,4.61,2.68,5.33,0.987,1
PHerc1218,6512,22624,5548 1239 1154 1707 3020 2692 2718 4546,4.81,0.685,-4.45,0.95,4.55,0.1,0.85,0.85,0.095,1
PHerc1218,7282,20986,4252 2854 1374 2678 2042 2191 1838 3757,3.09,0.605,-2.81,-1.49,3.18,-0.61,0.87,1.06,0.121,1
PHerc1218,8053,24064,2725 2889 2390 3740 3883 1613 2799 4025,2.5,0.536,-0.07,0.15,0.16,2.78,-1.72,3.27,-0.835,0
PHerc1218,8823,23161,5249 1190 1077 1708 3493 2050 2568 5826,5.41,0.678,-5.4,2.26,5.86,-5.52,2.88,6.22,0.996,1
PHerc1218,9593,22538,5017 1715 1486 2455 3965 1455 2585 3860,3.45,0.585,-2.86,0.86,2.99,-3.27,0.36,3.29,0.983,1
PHerc1218,10363,23292,4347 1949 1658 3985 4101 1296 1485 4471,3.45,0.533,-0.53,-0.55,0.77,0.37,-0.65,0.75,0.281,1
PHerc1218,11133,23129,4813 1818 1571 4481 3560 1477 1271 4138,3.79,0.548,-0.71,-0.96,1.19,1.38,-0.3,1.41,-0.408,0
PHerc1218,11903,21048,5242 1715 1474 3822 2698 1273 1206 3618,4.35,0.582,-1.91,-1.15,2.23,0.2,-0.31,0.37,-0.046,0
PHerc1218,12673,20450,4441 1937 1305 3648 2885 1366 1217 3651,3.65,0.554,-1.11,-1.07,1.54,-0.35,0.07,0.36,0.561,1
PHerc1218,13443,21210,3980 1689 1252 3645 3372 1597 1580 4095,3.27,0.535,-0.78,0.09,0.78,-0.49,-0.17,0.52,0.9,1
PHerc1218,14213,20198,3172 1218 1207 4810 2969 1376 1460 3986,3.99,0.526,0.22,-0.16,0.27,0.8,0.04,0.81,0.791,1
PHerc1218,14983,22536,4704 1559 1265 4633 3488 1411 1116 4360,4.22,0.54,-0.89,-0.41,0.98,-2.04,-0.52,2.11,0.983,1
PHerc1218,15753,18468,3587 973 824 3553 2940 1296 1148 4147,5.03,0.551,-1.51,0.59,1.62,1.92,-0.07,1.92,-0.943,0
PHerc1218,16523,20731,3879 1012 827 3616 3027 1054 1370 5946,7.19,0.591,-2.84,0.9,2.98,-3.5,0.66,3.56,0.993,1
PHerc1218,17294,17014,2779 784 305 2719 3150 941 1278 5058,16.58,0.613,-1.85,1.67,2.49,-5.02,3.03,5.86,0.981,1
PHerc1218,18064,19554,3467 664 501 3167 4228 1037 817 5673,11.32,0.601,-1.47,1.5,2.1,-9.52,0.66,9.55,0.747,1
PHerc1218,18834,22716,3319 1238 723 4165 4540 2312 1587 4832,6.68,0.584,0.62,1.74,1.85,-0.17,0.75,0.76,0.847,1
PHerc1218,19604,24922,4338 1765 1170 4238 4883 1790 2070 4668,4.17,0.538,-0.35,0.73,0.81,1.32,0.39,1.37,-0.155,0
PHerc1218,20374,23587,3914 1633 1613 4056 4157 2115 1820 4279,2.65,0.524,0.23,0.69,0.73,-1.63,-0.43,1.69,-0.545,0
PHerc1218,21144,19045,3180 2098 1385 2759 2542 1905 1685 3491,2.52,0.549,-1.05,0.47,1.15,-1.98,-0.67,2.09,0.734,1
PHerc1447,2944,35650,5815 6194 2695 5333 6326 1995 3152 4140,3.17,0.576,0.93,-1.54,1.8,-0.52,-0.42,0.67,0.134,1
PHerc1447,3777,40096,5180 5180 2263 5097 9047 4926 4581 3822,4.0,0.59,2.41,1.28,2.73,-0.98,-0.5,1.1,-1.0,0
PHerc1447,4611,36881,5930 4513 2172 4292 7948 4094 3918 4014,3.66,0.549,1.01,0.63,1.19,1.17,-0.12,1.18,0.793,1
PHerc1447,5444,32557,6065 3812 1809 3274 7959 2648 3183 3807,4.4,0.54,0.62,0.26,0.67,-3.43,-1.2,3.63,-0.998,0
PHerc1447,6278,30904,5847 3721 1878 2926 7377 2592 2936 3627,3.93,0.535,0.25,0.18,0.31,-1.67,-0.66,1.8,-0.972,0
PHerc1447,7111,27395,5731 3191 1701 2989 6316 2421 1933 3113,3.71,0.518,0.34,0.16,0.38,-2.0,-0.94,2.21,-1.0,0
PHerc1447,7944,31386,5737 2122 1186 2426 7333 4678 3312 4592,6.18,0.635,0.26,2.76,2.77,1.49,0.17,1.5,0.208,1
PHerc1447,8778,28939,5613 2290 1322 2898 6780 3754 2605 3677,5.13,0.581,0.58,2.04,2.12,1.09,0.55,1.22,0.678,1
PHerc1447,9611,30129,4799 3933 1774 4795 6762 3750 1721 2595,3.93,0.573,2.36,-0.2,2.37,2.51,0.74,2.62,0.932,1
PHerc1447,10445,33363,4718 4722 2990 4792 6112 3716 2588 3725,2.36,0.558,1.73,-1.25,2.14,0.34,-0.73,0.81,0.873,1
PHerc1447,11278,31945,5110 2944 1915 5940 4574 3330 3175 4957,3.1,0.533,0.52,-0.28,0.59,-2.89,0.67,2.97,-0.967,0
PHerc1447,12111,33821,4934 3455 2577 7414 4351 2871 3558 4661,2.88,0.543,0.72,-0.37,0.81,-0.0,0.97,0.97,-0.461,0
PHerc1447,12945,34723,4086 3145 3144 7605 5231 2887 3687 4938,2.63,0.559,1.79,0.02,1.79,2.18,-0.63,2.27,0.958,1
PHerc1447,13778,28787,3005 2308 2090 6256 5283 3334 2703 3808,2.99,0.611,3.2,1.39,3.49,1.17,0.42,1.24,0.998,1
PHerc1447,14611,27998,1786 1483 1922 5425 5327 3843 4617 3595,3.66,0.686,3.03,3.61,4.71,-0.45,0.72,0.85,0.315,1
PHerc1447,15445,27633,2105 1696 2879 6429 3843 2836 4308 3537,3.79,0.63,2.75,1.48,3.12,1.29,-0.94,1.6,0.435,1
PHerc1447,16278,26199,3066 1748 3250 6125 3115 2341 2772 3782,3.5,0.566,2.29,-0.39,2.33,-0.67,0.1,0.68,-1.0,0
PHerc1447,17112,28823,3200 2325 3336 6306 3571 2149 3581 4355,2.93,0.541,2.41,-0.35,2.43,-0.8,1.06,1.33,-0.713,0
PHerc1447,17945,27069,3224 3179 2892 7630 3392 1519 1528 3705,5.02,0.631,3.68,-3.49,5.07,-2.03,0.02,2.03,-0.734,0
PHerc1447,18778,30268,4366 3629 4169 8528 3037 1256 1528 3755,6.79,0.684,3.23,-5.17,6.1,4.06,-1.25,4.25,0.755,1
PHerc1447,19612,31893,5856 5095 4016 7478 2645 1298 1469 4036,5.76,0.704,1.36,-6.41,6.55,-4.15,-0.48,4.18,-0.093,0
PHerc1447,20445,37372,6060 5449 5888 8338 3069 1736 2230 4602,4.8,0.689,1.97,-6.62,6.9,-3.03,-2.27,3.78,0.345,1
PHerc1447,21279,39683,5238 4675 2403 6816 4458 2837 6182 7074,2.94,0.584,-1.89,0.91,2.1,-5.15,4.81,7.04,0.954,1
PHerc1447,22112,36271,4449 1949 1470 4229 6002 4742 6454 6976,4.75,0.666,-1.57,5.0,5.24,1.35,0.17,1.36,-0.182,0
PHerc1545,2544,37237,7536 4672 4245 3167 4905 5578 2869 4265,2.63,0.556,-2.2,-0.08,2.2,0.32,0.43,0.53,-0.622,0
PHerc1545,3214,35761,5255 4630 3951 2874 4362 6884 3496 4309,2.4,0.558,-0.63,1.18,1.34,-1.38,-1.28,1.88,-0.258,0
PHerc1545,3885,30877,2876 4629 3795 3022 4042 5327 3578 3608,1.85,0.536,-0.22,0.84,0.87,1.52,0.68,1.66,0.169,1
PHerc1545,4555,30129,4139 4708 3212 2356 3130 5245 4001 3338,2.23,0.555,-1.51,1.4,2.06,0.96,-2.75,2.91,-0.884,0
PHerc1545,5225,28879,4023 3543 2598 2259 3832 5301 3746 3577,2.35,0.576,-1.64,2.36,2.87,3.14,2.51,4.02,0.066,1
PHerc1545,5895,31640,5826 4655 2664 2605 3141 4624 3496 4629,2.24,0.588,-4.48,0.53,4.51,-0.95,-0.92,1.32,0.63,1
PHerc1545,6566,27261,7273 3579 1124 1619 3311 3281 2566 4508,6.47,0.658,-4.92,0.17,4.92,-8.23,-2.33,8.56,0.952,1
PHerc1545,7236,26912,3762 3394 2188 2905 5579 4597 1982 2505,2.81,0.567,3.33,0.99,3.47,-1.59,0.59,1.69,-0.798,0
PHerc1545,7906,23323,5025 2416 1564 3257 4870 2937 1220 2034,4.12,0.541,1.51,0.11,1.51,-1.71,-0.11,1.71,-1.0,0
PHerc1545,8576,22974,5277 2044 1292 2638 5284 2488 1424 2527,4.09,0.515,0.1,0.61,0.62,-2.54,0.14,2.55,-0.106,0
PHerc1545,9247,20967,3941 1980 1340 2667 4857 2538 1395 2249,3.62,0.546,1.07,1.05,1.5,-0.78,-0.08,0.79,-0.779,0
PHerc1545,9917,17937,4406 931 1427 2440 3196 1780 1345 2412,4.73,0.554,-1.0,0.15,1.01,-3.62,-1.05,3.77,0.909,1
PHerc1545,10587,17724,5021 1138 977 3013 3452 1127 1072 1924,5.14,0.573,-0.57,-0.69,0.9,-1.1,0.23,1.13,0.465,1
PHerc1545,11257,17550,5297 1270 817 3281 3341 1067 850 1627,6.48,0.608,-0.55,-1.36,1.46,-0.01,0.18,0.18,-0.905,0
PHerc1545,11928,19015,5125 1263 805 3125 4200 1673 1099 1725,6.37,0.543,0.5,-0.05,0.5,1.28,0.53,1.39,0.876,1
PHerc1545,12598,22070,5966 1455 1001 3642 4850 2218 1100 1838,5.96,0.547,0.56,-0.34,0.66,4.35,0.29,4.36,0.819,1
PHerc1545,13268,24218,6506 2433 930 3814 4881 2759 1237 1658,7.0,0.565,0.4,-0.85,0.94,-0.25,-0.7,0.74,0.714,1
PHerc1545,13938,25055,6070 2035 1557 4456 5620 2313 1174 1830,5.17,0.563,1.18,-0.92,1.5,0.52,-0.55,0.76,0.989,1
PHerc1545,14609,25063,6895 2511 1291 4932 3900 1994 1183 2357,5.83,0.624,-0.6,-1.82,1.91,-3.54,-2.19,4.16,0.766,1
PHerc1545,15279,25109,5830 2749 1505 5643 4349 1530 1236 2267,4.72,0.626,0.95,-2.36,2.54,-0.36,-1.09,1.15,0.766,1
PHerc1545,15949,23487,5844 2321 2556 4582 3977 1047 958 2202,6.1,0.652,0.49,-3.58,3.61,0.22,0.18,0.28,-0.522,0
PHerc1545,16619,23104,5853 2418 1566 5373 3091 1013 1050 2740,5.78,0.658,-0.16,-3.14,3.14,-3.88,-6.57,7.63,0.886,1
